"Subject","Split"
"100017","Train"
"100890","Train"
"100891","Train"
"101039","Train"
"101048","Train"
"101092","Train"
"101179","Train"
"101186","Train"
"101187","Train"
"101482","Train"
"101747","Train"
"102308","Train"
"102479","Train"
"105711","Train"
"106127","Train"
"110220","Train"
"110686","Train"
"111099","Train"
"112712","Train"
"113447","Train"
"115448","Train"
"116008","Train"
"118352","Train"
"120545","Train"
"121109","Train"
"123594","Train"
"124793","Train"
"130028","Train"
"130190","Train"
"134442","Train"
"137450","Train"
"137482","Train"
"137842","Train"
"137886","Train"
"139982","Train"
"140041","Train"
"140258","Train"
"140451","Train"
"141714","Train"
"141893","Train"
"142007","Train"
"142523","Train"
"144254","Train"
"146875","Train"
"147372","Train"
"147401","Train"
"148093","Train"
"149716","Train"
"150110","Train"
"152031","Train"
"153191","Train"
"156459","Train"
"157434","Train"
"158117","Train"
"160057","Train"
"162905","Train"
"163420","Train"
"164589","Train"
"165936","Train"
"170189","Train"
"170727","Train"
"172084","Train"
"172370","Train"
"173814","Train"
"174151","Train"
"175837","Train"
"179541","Train"
"181957","Train"
"182848","Train"
"182984","Train"
"184190","Train"
"186108","Train"
"188666","Train"
"189935","Train"
"195159","Train"
"198746","Train"
"208996","Train"
"209267","Train"
"210085","Train"
"211315","Train"
"211536","Train"
"211886","Train"
"212839","Train"
"213006","Train"
"213675","Train"
"214900","Train"
"215045","Train"
"218577","Train"
"219153","Train"
"229722","Train"
"234882","Train"
"236149","Train"
"240385","Train"
"240412","Train"
"240509","Train"
"244636","Train"
"245552","Train"
"251185","Train"
"252146","Train"
"253417","Train"
"292756","Train"
"292898","Train"
"293353","Train"
"293361","Train"
"293372","Train"
"293445","Train"
"293463","Train"
"293487","Train"
"293596","Train"
"293633","Train"
"293726","Train"
"293727","Train"
"3004","Train"
"3008","Train"
"3013","Train"
"3029","Train"
"3051","Train"
"3054","Train"
"3055","Train"
"3056","Train"
"3057","Train"
"3059","Train"
"3060","Train"
"3061","Train"
"3062","Train"
"3064","Train"
"3067","Train"
"3068","Train"
"3069","Train"
"3071","Train"
"3072","Train"
"3076","Train"
"3077","Train"
"3083","Train"
"3086","Train"
"3104","Train"
"3105","Train"
"3106","Train"
"3108","Train"
"311019","Train"
"311043","Train"
"311116","Train"
"3112","Train"
"311399","Train"
"3114","Train"
"311453","Train"
"3115","Train"
"3116","Train"
"3118","Train"
"3119","Train"
"3120","Train"
"312499","Train"
"3126","Train"
"3128","Train"
"3129","Train"
"3130","Train"
"3131","Train"
"313162","Train"
"314240","Train"
"314993","Train"
"3150","Train"
"3151","Train"
"3154","Train"
"3157","Train"
"3160","Train"
"3161","Train"
"3166","Train"
"3167","Train"
"3168","Train"
"3169","Train"
"3171","Train"
"317115","Train"
"3174","Train"
"3175","Train"
"3179","Train"
"3181","Train"
"3182","Train"
"3184","Train"
"3185","Train"
"318884","Train"
"3190","Train"
"3191","Train"
"3257","Train"
"3260","Train"
"3264","Train"
"3270","Train"
"3271","Train"
"3274","Train"
"3277","Train"
"3300","Train"
"3301","Train"
"3305","Train"
"3307","Train"
"3310","Train"
"3314","Train"
"3316","Train"
"3320","Train"
"3350","Train"
"3352","Train"
"3353","Train"
"3357","Train"
"3358","Train"
"3361","Train"
"3362","Train"
"3365","Train"
"3366","Train"
"3368","Train"
"3369","Train"
"3370","Train"
"3375","Train"
"337602","Train"
"3377","Train"
"3380","Train"
"3383","Train"
"3385","Train"
"3389","Train"
"3404","Train"
"3405","Train"
"3410","Train"
"3411","Train"
"3414","Train"
"3423","Train"
"342385","Train"
"3424","Train"
"3428","Train"
"343776","Train"
"3443","Train"
"3448","Train"
"3502","Train"
"3503","Train"
"3507","Train"
"3516","Train"
"3517","Train"
"3518","Train"
"3519","Train"
"3521","Train"
"3523","Train"
"3527","Train"
"3544","Train"
"3554","Train"
"3557","Train"
"3563","Train"
"3565","Train"
"3567","Train"
"3569","Train"
"3571","Train"
"3572","Train"
"3588","Train"
"3591","Train"
"3592","Train"
"3600","Train"
"3601","Train"
"3604","Train"
"3608","Train"
"3609","Train"
"3610","Train"
"3611","Train"
"3613","Train"
"3614","Train"
"3620","Train"
"3624","Train"
"3627","Train"
"3629","Train"
"3630","Train"
"3632","Train"
"3637","Train"
"3650","Train"
"3656","Train"
"3658","Train"
"3661","Train"
"3662","Train"
"3668","Train"
"3756","Train"
"3759","Train"
"3764","Train"
"3765","Train"
"3768","Train"
"3769","Train"
"3775","Train"
"3778","Train"
"3780","Train"
"3787","Train"
"3800","Train"
"3804","Train"
"3805","Train"
"3806","Train"
"3807","Train"
"3809","Train"
"3811","Train"
"3814","Train"
"3816","Train"
"3817","Train"
"3822","Train"
"3824","Train"
"3825","Train"
"3829","Train"
"3831","Train"
"3832","Train"
"3835","Train"
"3850","Train"
"3852","Train"
"3853","Train"
"3854","Train"
"3855","Train"
"3857","Train"
"3866","Train"
"3950","Train"
"3952","Train"
"3955","Train"
"3959","Train"
"3967","Train"
"3968","Train"
"3969","Train"
"4001","Train"
"40012","Train"
"4004","Train"
"4010","Train"
"4012","Train"
"4018","Train"
"4019","Train"
"4021","Train"
"4022","Train"
"4029","Train"
"4030","Train"
"4033","Train"
"4035","Train"
"4037","Train"
"4038","Train"
"40533","Train"
"40534","Train"
"40541","Train"
"4055","Train"
"4056","Train"
"4057","Train"
"40585","Train"
"4059","Train"
"4067","Train"
"40690","Train"
"40693","Train"
"40694","Train"
"40806","Train"
"4083","Train"
"4090","Train"
"4091","Train"
"4093","Train"
"4098","Train"
"4100","Train"
"4107","Train"
"4108","Train"
"4110","Train"
"4113","Train"
"4116","Train"
"4118","Train"
"41184","Train"
"41289","Train"
"4139","Train"
"41411","Train"
"41578","Train"
"41749","Train"
"5000","Train"
"5001","Train"
"5004","Train"
"5006","Train"
"5008","Train"
"5011","Train"
"5012","Train"
"5013","Train"
"5014","Train"
"5016","Train"
"50319","Train"
"50901","Train"
"50983","Train"
"51518","Train"
"51731","Train"
"53060","Train"
"55395","Train"
"55468","Train"
"55875","Train"
"57037","Train"
"57880","Train"
"70463","Train"
"72826","Train"
"74817","Train"
"75409","Train"
"75421","Train"
